                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.46474,                0.60276,                0.41654,                0.84693,                0.96399,                0.97292,                0.97106,                0.84765,                0.96399,                0.97292,                0.97106,                0.84428,                0.59136,                 0.7207,                0.36322,                0.89854,             0.00032291,             0.00032291,             0.00032291
                     42,                  0.461,                0.59166,                0.40256,                0.84266,                0.96816,                0.95186,                0.97338,                0.84887,                0.96816,                0.95186,                0.97338,                0.85927,                0.58793,                0.74774,                 0.3728,                0.90173,              0.0003177,              0.0003177,              0.0003177
                     43,                0.47118,                0.59865,                0.40846,                0.85531,                0.95768,                 0.9667,                0.96862,                0.84941,                0.95768,                 0.9667,                0.96862,                0.85019,                0.59284,                0.75255,                0.38054,                0.90441,              0.0003125,              0.0003125,              0.0003125
                     44,                 0.4577,                0.61549,                 0.4058,                0.84987,                0.96508,                0.96963,                 0.9734,                0.85565,                0.96508,                0.96963,                 0.9734,                0.85766,                 0.5797,                 0.9334,                0.38983,                 0.8951,             0.00030729,             0.00030729,             0.00030729
                     45,                0.45649,                0.59003,                0.40093,                0.85065,                0.95534,                0.96858,                0.96757,                 0.8549,                0.95534,                0.96858,                0.96757,                0.85298,                0.56597,                 1.3396,                 0.3977,                0.89216,             0.00030208,             0.00030208,             0.00030208
                     46,                0.45114,                0.58626,                0.39468,                0.85293,                0.95687,                0.95509,                0.97002,                0.84098,                0.95687,                0.95509,                0.97002,                0.84807,                 0.6036,                0.81047,                 0.3861,                 0.9116,             0.00029687,             0.00029687,             0.00029687
                     47,                0.44233,                0.59453,                0.37525,                0.84717,                0.96135,                0.93234,                0.97641,                0.85303,                0.96135,                0.93234,                0.97641,                0.86273,                0.58798,                0.76594,                0.36704,                0.90734,             0.00029167,             0.00029167,             0.00029167
                     48,                 0.4414,                0.58406,                0.38036,                0.84879,                0.96717,                0.96621,                0.96969,                0.85245,                0.96717,                0.96621,                0.96969,                0.84843,                0.57888,                 0.7626,                 0.3599,                0.89787,             0.00028646,             0.00028646,             0.00028646
                     49,                 0.4372,                0.59209,                0.37952,                0.83859,                0.95807,                0.95601,                0.96471,                0.84844,                0.95807,                0.95601,                0.96306,                0.84603,                0.59009,                0.84536,                0.39427,                0.90504,             0.00028125,             0.00028125,             0.00028125
                     50,                0.43121,                0.57706,                0.37757,                0.84479,                0.95434,                0.95727,                 0.9553,                0.83613,                0.95434,                0.95727,                 0.9553,                0.83367,                0.59377,                 0.8728,                0.40865,                0.90915,             0.00027604,             0.00027604,             0.00027604
                     51,                0.42387,                0.56124,                0.38045,                0.83864,                 0.9586,                 0.9551,                0.96053,                0.84309,                 0.9586,                 0.9551,                0.95768,                0.84636,                 0.5845,                0.78135,                0.39798,                0.90177,             0.00027084,             0.00027084,             0.00027084
                     52,                0.42546,                0.58418,                0.36367,                0.84073,                0.94117,                0.95372,                0.96335,                0.84672,                0.94117,                0.95372,                0.96236,                0.85471,                0.56312,                 0.9261,                  0.405,                 0.8922,             0.00026563,             0.00026563,             0.00026563
                     53,                0.40991,                0.55802,                0.35592,                0.83908,                0.95803,                0.94302,                 0.9627,                0.84328,                0.95803,                0.94302,                 0.9627,                0.84679,                0.58016,                0.76651,                0.38025,                0.90127,             0.00026042,             0.00026042,             0.00026042
                     54,                0.40826,                0.55836,                0.37629,                0.84168,                0.95939,                0.94961,                0.96019,                0.84802,                0.95939,                0.94961,                0.96019,                 0.8562,                0.56638,                0.73423,                0.38617,                 0.8895,             0.00025522,             0.00025522,             0.00025522
                     55,                0.40695,                0.55778,                0.36626,                0.84224,                0.95634,                0.95699,                0.96599,                0.85205,                0.95634,                0.95699,                0.96599,                0.85237,                0.57926,                 0.7545,                0.37042,                0.89785,             0.00025001,             0.00025001,             0.00025001
                     56,                0.39996,                0.56849,                0.36646,                0.83262,                0.95909,                0.95265,                0.95736,                0.84081,                0.95909,                0.95265,                0.95736,                0.84177,                0.59296,                  1.101,                0.40715,                0.90101,              0.0002448,              0.0002448,              0.0002448
                     57,                0.39452,                0.54088,                0.34289,                0.83285,                0.96393,                0.95303,                0.96805,                0.84832,                0.96393,                0.95303,                0.96805,                0.85414,                0.59057,                0.88181,                0.37212,                0.89589,             0.00023959,             0.00023959,             0.00023959
                     58,                0.39687,                 0.5511,                0.34677,                0.82983,                 0.9443,                0.93265,                0.95661,                0.83696,                 0.9443,                0.93265,                0.95465,                0.83835,                0.58768,                0.80791,                0.43916,                 0.9005,             0.00023439,             0.00023439,             0.00023439
                     59,                0.38944,                0.53039,                0.34277,                0.82568,                0.95719,                0.95554,                0.96236,                0.84039,                0.95719,                0.95554,                0.96236,                0.84228,                0.58431,                0.91515,                0.37302,                0.90146,             0.00022918,             0.00022918,             0.00022918
                     60,                0.38654,                 0.5469,                0.34102,                0.83485,                0.96208,                0.94947,                  0.957,                0.84108,                0.96208,                0.94947,                  0.957,                0.84328,                 0.5672,                0.81271,                0.37774,                0.89407,             0.00022397,             0.00022397,             0.00022397
                     61,                0.39534,                0.54436,                0.35793,                0.83247,                0.95559,                0.95446,                0.95721,                0.83771,                0.95559,                0.95446,                0.95721,                0.83661,                0.60332,                0.85585,                 0.4253,                 0.9104,             0.00021876,             0.00021876,             0.00021876
                     62,                 0.3901,                0.53317,                0.33382,                0.82583,                0.97412,                 0.9563,                0.97036,                0.84884,                0.97412,                 0.9563,                0.97036,                0.85085,                0.57928,                0.80092,                0.39631,                0.89611,             0.00021356,             0.00021356,             0.00021356
                     63,                0.39563,                0.54552,                0.35875,                0.83549,                0.95547,                0.95163,                 0.9623,                0.85503,                0.95547,                0.95163,                 0.9623,                 0.8432,                0.57919,                0.84803,                0.39948,                0.89993,             0.00020835,             0.00020835,             0.00020835
                     64,                0.38485,                0.52261,                0.34094,                0.82392,                0.96268,                0.96525,                0.97538,                0.85197,                0.96268,                0.96525,                0.97538,                0.85369,                0.59886,                0.86043,                 0.3728,                0.90505,             0.00020314,             0.00020314,             0.00020314
                     65,                0.37222,                0.51438,                0.32786,                0.82935,                0.96997,                0.97167,                0.97212,                0.85861,                0.96997,                0.97167,                0.97212,                0.85948,                0.57518,                 0.8214,                0.35563,                0.89709,             0.00019793,             0.00019793,             0.00019793
                     66,                0.36353,                0.51067,                0.31965,                0.82379,                0.96872,                0.95868,                0.97162,                0.84735,                0.96872,                0.95868,                0.97162,                0.85184,                0.60548,                0.84763,                0.37958,                0.91241,             0.00019273,             0.00019273,             0.00019273
                     67,                0.36616,                0.50126,                0.32299,                0.82827,                0.97199,                0.96218,                0.97245,                0.84845,                0.97199,                0.96218,                0.97245,                0.85015,                 0.6061,                0.87962,                0.35847,                0.91236,             0.00018752,             0.00018752,             0.00018752
                     68,                0.36521,                0.52204,                0.32215,                 0.8264,                0.95575,                0.95541,                0.96012,                0.83201,                0.95575,                0.95541,                0.96012,                0.84054,                0.59293,                 1.0026,                0.39812,                0.90441,             0.00018231,             0.00018231,             0.00018231
                     69,                0.36936,                0.51232,                0.32591,                0.83145,                0.96867,                0.95567,                0.97247,                0.84677,                0.96867,                0.95567,                0.97247,                0.85102,                0.61131,                0.96971,                0.38494,                0.91559,              0.0001771,              0.0001771,              0.0001771
                     70,                0.35437,                0.49825,                0.31564,                0.82226,                0.97315,                0.95183,                0.96909,                0.84586,                0.97315,                0.95183,                0.96909,                0.85519,                0.58416,                 1.1056,                0.38283,                0.90067,              0.0001719,              0.0001719,              0.0001719
                     71,                0.36601,                0.50758,                0.31717,                0.82776,                0.96063,                0.96301,                0.97506,                0.84536,                0.96063,                0.96301,                0.97506,                0.84994,                0.61217,                0.92266,                0.37809,                0.91573,             0.00016669,             0.00016669,             0.00016669
                     72,                 0.3561,                 0.4981,                 0.3229,                0.82568,                0.96965,                0.94544,                0.97144,                0.83995,                0.96965,                0.94544,                0.97144,                0.84183,                 0.6167,                0.94596,                 0.3987,                 0.9157,             0.00016148,             0.00016148,             0.00016148
                     73,                0.34858,                0.49478,                0.31142,                 0.8232,                0.97079,                0.96103,                0.96947,                0.84486,                0.97079,                0.96103,                0.96947,                0.84245,                0.59685,                0.97403,                0.38807,                0.90853,             0.00015627,             0.00015627,             0.00015627
                     74,                0.33596,                0.48024,                0.30105,                0.81801,                0.97202,                0.95492,                0.97456,                0.84826,                0.97202,                0.95492,                0.97456,                0.85114,                0.59609,                 1.2121,                0.38777,                0.91035,             0.00015107,             0.00015107,             0.00015107
                     75,                0.33867,                0.47832,                0.29834,                0.82205,                 0.9711,                 0.9503,                 0.9737,                0.84475,                 0.9711,                 0.9503,                 0.9737,                0.84632,                0.61088,                 1.6328,                0.42356,                0.91417,             0.00014586,             0.00014586,             0.00014586
                     76,                0.32754,                0.47601,                0.30302,                0.81388,                0.96525,                0.94235,                 0.9689,                0.84133,                0.96525,                0.94235,                 0.9689,                0.84385,                0.59277,                 1.2129,                0.38162,                0.90878,             0.00014065,             0.00014065,             0.00014065
                     77,                0.32519,                 0.4662,                0.28992,                0.82462,                0.96347,                0.95215,                0.96226,                 0.8367,                0.96347,                0.95215,                0.96226,                0.83924,                0.61032,                0.96709,                 0.4101,                0.91988,             0.00013544,             0.00013544,             0.00013544
                     78,                0.32776,                0.47228,                0.29101,                0.82064,                0.96631,                0.94723,                0.96395,                0.83536,                0.96631,                0.94723,                0.96395,                0.83514,                0.61844,                 1.2909,                 0.4178,                0.92432,             0.00013024,             0.00013024,             0.00013024
                     79,                0.32406,                0.46477,                0.29317,                0.81964,                0.96788,                0.95145,                0.96525,                0.83838,                0.96788,                0.95145,                0.96525,                0.83688,                0.60342,                 1.0291,                0.40976,                0.91834,             0.00012503,             0.00012503,             0.00012503
                     80,                0.33746,                0.49122,                 0.3087,                0.82185,                0.97054,                0.94744,                0.96768,                0.83998,                0.97054,                0.94744,                0.96768,                0.83849,                0.59109,                  1.157,                0.39642,                0.91224,             0.00011982,             0.00011982,             0.00011982
                     81,                0.30708,                0.46443,                0.27806,                0.81496,                0.96685,                0.96119,                0.97004,                0.84754,                0.96685,                0.96119,                0.97004,                 0.8438,                0.59465,                 1.2231,                0.38722,                0.91072,             0.00011462,             0.00011462,             0.00011462
                     82,                0.31069,                0.45247,                 0.2819,                0.81345,                0.96936,                0.95738,                 0.9632,                  0.847,                0.96936,                0.95738,                 0.9632,                0.83654,                0.58906,                  1.375,                0.40875,                0.90749,             0.00010941,             0.00010941,             0.00010941
                     83,                0.30741,                 0.4504,                0.26378,                0.80575,                0.96992,                0.95788,                0.96611,                0.84712,                0.96992,                0.95788,                0.96611,                0.84213,                0.59602,                 1.0018,                0.38175,                0.91157,              0.0001042,              0.0001042,              0.0001042
